OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
OTU1128,GSL,100.0,BOLD:AAB4239.1,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Macrosiphum,Macrosiphum valerianae,pomp.4584,20,BOLD:AAB4239
OTU65,GS,100.0,BOLD:AAA5695.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Cheumatopsyche,Cheumatopsyche analis,pomp.4585,240,BOLD:AAA5695
OTU70,GS,100.0,BOLD:AAA2247.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Gluphisia,Gluphisia septentrionis,pomp.4585,3074,BOLD:AAA2247
OTU214,GS,100.0,BOLD:AAB5799.4,Animalia,Arthropoda,Insecta,Lepidoptera,Pyralidae,Dolichomia,Dolichomia olinalis,pomp.4585,42,BOLD:AAB5799
OTU250,GS,100.0,BOLD:ACN8224.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Meteorus,NA,pomp.4585,473,BOLD:ACN8224
OTU299,GS,100.0,BOLD:AAB4783.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos subsignaria,pomp.4585,9,BOLD:AAB4783
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4585,10,None
OTU409,GS,100.0,BOLD:AAD2111.2,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Tmarus,Tmarus angulatus,pomp.4585,4,BOLD:AAD2111
OTU670,GS,100.0,BOLD:AAA2325.2,Animalia,Arthropoda,Insecta,Trichoptera,Lepidostomatidae,Lepidostoma,Lepidostoma togatum,pomp.4585,47,BOLD:AAA2325
OTU949,US,1.0000,BOLD:ACT9469.1,Animalia,Arthropoda,Insecta,Megaloptera,NA,NA,NA,pomp.4585,10,BOLD:ACT9469
OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4585,2,None
OTU1843,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4585,2,None
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4585,1,None
OTU15,GS,100.0,BOLD:AAA8563.2,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Parallelia,Parallelia bistriaris,pomp.4586,865,BOLD:AAA8563
OTU77,GS,100.0,BOLD:AAF7371.1,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Misogada,Misogada unicolor,pomp.4586,2141,BOLD:AAF7371
OTU78,GS,100.0,BOLD:AAJ9298.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanolophia,Melanolophia signataria,pomp.4586,4212,BOLD:AAJ9298
OTU89,GSL,99.4,BOLD:ACE9100.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,NA,pomp.4586,137,BOLD:ACE9100
OTU97,GS,99.4,BOLD:AAP8544.1,Animalia,Arthropoda,Insecta,Diptera,Rhagionidae,NA,NA,pomp.4586,99,BOLD:AAP8544
OTU128,GS,100.0,BOLD:AAA4456.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Speranza,Speranza pustularia,pomp.4586,1843,BOLD:AAA4456
OTU131,GS,100.0,BOLD:AAB2216.1,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neolygus,Neolygus quercalbae,pomp.4586,894,BOLD:AAB2216
OTU148,GS,100.0,BOLD:AAD5218.1,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Eutelia,Eutelia pulcherrimus,pomp.4586,34,BOLD:AAD5218
OTU206,GS,100.0,BOLD:AAG6831.6,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,NA,pomp.4586,19,BOLD:AAG6831
OTU207,GS,98.9,BOLD:AAB7933.1,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala anastera,pomp.4586,36,BOLD:AAB7933
OTU270,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,pomp.4586,31,BOLD:AAC5871
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4586,37,None
OTU438,GS,100.0,BOLD:AAD5417.4,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona obesa,pomp.4586,150,BOLD:AAD5417
OTU497,GS,100.0,BOLD:ACL3824.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,pomp.4586,17,BOLD:ACL3824
OTU520,GS,100.0,BOLD:AAF7112.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Grapholita,Grapholita eclipsana,pomp.4586,27,BOLD:AAF7112
OTU548,GS,98.9,BOLD:AAA8213.3,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,pomp.4586,9,BOLD:AAA8213
OTU560,GS,100.0,BOLD:ABZ0710.1,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,Ceraclea cancellata,pomp.4586,82,BOLD:ABZ0710
OTU567,GS,98.3,BOLD:ABY9871.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,NA,pomp.4586,6,BOLD:ABY9871
OTU644,GS,100.0,BOLD:AAJ2319.1,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Analeptura,Analeptura lineola,pomp.4586,62,BOLD:AAJ2319
OTU729,GS,100.0,BOLD:AAA2953.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia solicitana,pomp.4586,5,BOLD:AAA2953
OTU847,US,0.9885,BOLD:ACI7099.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4586,15,BOLD:ACI7099
OTU884,GS,98.9,BOLD:AAA8034.1,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Ceraclea,Ceraclea cancellata,pomp.4586,5,BOLD:AAA8034
OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,14,None
OTU1119,GS,99.4,BOLD:AAE3210.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culiseta,Culiseta morsitans,pomp.4586,8,BOLD:AAE3210
OTU1134,GS,98.3,BOLD:ACW4759.1,Animalia,Arthropoda,Insecta,Diptera,Chyromyidae,Gymnochiromyia,NA,pomp.4586,10,BOLD:ACW4759
OTU1587,US,0.8000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4586,4,None
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4586,4,None
OTU1605,GS,100.0,BOLD:ACG2990.2,Animalia,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Pristiphora,Pristiphora chlorea,pomp.4586,5,BOLD:ACG2990
OTU1637,US,0.9881,BOLD:AAD1798.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,9,BOLD:AAD1798
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4586,11,None
OTU1843,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4586,1,None
OTU1956,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4586,4,None
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4586,4,None
OTU2098,US,0.0000,None,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,pomp.4586,2,None
OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,pomp.4586,1,None
OTU42,GS,100.0,BOLD:AAC6350.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion murarium,pomp.4587,174,BOLD:AAC6350
OTU72,GS,100.0,BOLD:ACG7175.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Chionodes,Chionodes bicostomaculella,pomp.4587,294,BOLD:ACG7175
OTU167,SS,0.5100,BOLD:ACB0787.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4587,1080,BOLD:ACB0787
OTU247,GS,99.4,BOLD:AAJ0542.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,pomp.4587,35,BOLD:AAJ0542
OTU270,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,pomp.4587,98,BOLD:AAC5871
OTU304,GS,100.0,BOLD:AAA7551.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris georgiella,pomp.4587,126,BOLD:AAA7551
OTU328,GS,99.4,BOLD:ACB9565.1,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona pygmaea,pomp.4587,13,BOLD:ACB9565
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4587,3,None
OTU765,GS,99.4,BOLD:AAC8095.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Telphusa,Telphusa latifasciella,pomp.4587,776,BOLD:AAC8095
OTU811,GS,100.0,BOLD:ACE7683.1,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Mecaphesa,Mecaphesa asperata,pomp.4587,40,BOLD:ACE7683
OTU905,GS,100.0,BOLD:AAC1347.1,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Paectes,Paectes oculatrix,pomp.4587,1,BOLD:AAC1347
OTU1345,GS,98.9,BOLD:AAF6259.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Lypha,Lypha dubia,pomp.4587,19,BOLD:AAF6259
OTU1481,GS,100.0,BOLD:AAV7643.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bassus,Bassus annulipes,pomp.4587,13,BOLD:AAV7643
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4587,1,None
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4587,2,None
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4587,1,None
OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,pomp.4587,1,None
OTU29,GS,99.4,BOLD:AAD6926.1,Animalia,Arthropoda,Arachnida,Araneae,Anyphaenidae,Anyphaena,Anyphaena pectorosa,pomp.4588,14902,BOLD:AAD6926
OTU35,GS,100.0,BOLD:AAG2724.3,Animalia,Arthropoda,Insecta,Hemiptera,Reduviidae,Zelus,Zelus luridus,pomp.4588,6117,BOLD:AAG2724
OTU49,GS,100.0,BOLD:AAA7035.3,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips argyrospila,pomp.4588,4024,BOLD:AAA7035
OTU180,US,0.9976,BOLD:AAZ2945.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4588,593,BOLD:AAZ2945
OTU247,GS,99.4,BOLD:AAJ0542.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,pomp.4588,68,BOLD:AAJ0542
OTU270,GS,99.4,BOLD:AAC5871.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,Hentzia palmarum,pomp.4588,91,BOLD:AAC5871
OTU283,GS,100.0,BOLD:AAP5530.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Gelechia,Gelechia albisparsella,pomp.4588,15,BOLD:AAP5530
OTU328,GS,99.4,BOLD:ACB9565.1,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,Clubiona,Clubiona pygmaea,pomp.4588,213,BOLD:ACB9565
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4588,23,None
OTU391,GS,100.0,BOLD:AAB5696.5,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes canadensis,pomp.4588,32,BOLD:AAB5696
OTU477,GS,100.0,BOLD:AAN5451.1,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,NA,pomp.4588,39,BOLD:AAN5451
OTU529,GS,100.0,BOLD:AAG3212.1,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,NA,NA,pomp.4588,4,BOLD:AAG3212
OTU729,GS,100.0,BOLD:AAA2953.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia solicitana,pomp.4588,36,BOLD:AAA2953
OTU802,GS,100.0,BOLD:AAA3933.1,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Palthis,Palthis angulalis,pomp.4588,22,BOLD:AAA3933
OTU820,SS,0.6300,BOLD:AAH0468.1,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Arthromacra,NA,pomp.4588,57,BOLD:AAH0468
OTU996,GS,100.0,BOLD:AAE1264.1,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona crucifera,pomp.4588,11,BOLD:AAE1264
OTU1042,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4588,5,None
OTU1063,GS,100.0,BOLD:ACF2629.1,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neolygus,Neolygus inconspicuus,pomp.4588,17,BOLD:ACF2629
OTU1094,SS,0.7100,BOLD:AAH0468.1,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Arthromacra,NA,pomp.4588,9,BOLD:AAH0468
OTU1192,US,0.9546,BOLD:ACU6892.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4588,20,BOLD:ACU6892
OTU1270,GS,99.4,BOLD:AAD3035.2,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Hamamelistes,Hamamelistes spinosus,pomp.4588,8,BOLD:AAD3035
OTU1372,GS,99.4,BOLD:AAG3822.1,Animalia,Arthropoda,Arachnida,Araneae,Anyphaenidae,Anyphaena,NA,pomp.4588,2,BOLD:AAG3822
OTU1481,GS,100.0,BOLD:AAV7643.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Bassus,Bassus annulipes,pomp.4588,2,BOLD:AAV7643
OTU1492,GS,100.0,BOLD:AAA6652.1,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Morrisonia,Morrisonia confusa,pomp.4588,5,BOLD:AAA6652
OTU1587,US,0.8000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4588,1,None
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4588,4,None
OTU1747,US,0.0002,BOLD:ACX3901.1,Animalia,Arthropoda,Insecta,Orthoptera,NA,NA,NA,pomp.4588,8,BOLD:ACX3901
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4588,1,None
OTU1879,GS,99.4,BOLD:AAA5654.1,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Eris,Eris militaris,pomp.4588,5,BOLD:AAA5654
OTU2098,US,0.0000,None,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,pomp.4588,1,None
OTU2116,US,0.8000,None,Animalia,Arthropoda,Malacostraca,Isopoda,NA,NA,NA,pomp.4588,2,None
OTU53,GS,100.0,BOLD:AAH2293.1,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Eudioctria,Eudioctria propinqua,pomp.4589,354,BOLD:AAH2293
OTU131,GS,100.0,BOLD:AAB2216.1,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neolygus,Neolygus quercalbae,pomp.4589,153,BOLD:AAB2216
OTU168,GS,99.4,BOLD:AAC2551.2,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Iridopsis,Iridopsis ephyraria,pomp.4589,614,BOLD:AAC2551
OTU193,US,1.0000,None,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4589,30,None
OTU479,GS,100.0,BOLD:AAA3055.3,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Clepsis,Clepsis virescana,pomp.4589,165,BOLD:AAA3055
OTU645,GS,98.3,BOLD:ABW4519.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Atarba,Atarba picticornis,pomp.4589,88,BOLD:ABW4519
OTU775,GS,99.4,BOLD:AAB6253.1,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Depressaria,Depressaria radiella,pomp.4589,20,BOLD:AAB6253
OTU996,GS,100.0,BOLD:AAE1264.1,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,Neoscona crucifera,pomp.4589,27,BOLD:AAE1264
OTU1063,GS,100.0,BOLD:ACF2629.1,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neolygus,Neolygus inconspicuus,pomp.4589,2,BOLD:ACF2629
OTU1194,GS,99.4,BOLD:ADA8002.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,NA,pomp.4589,1,BOLD:ADA8002
OTU1588,US,0.0000,None,Animalia,Arthropoda,Collembola,Symphypleona,NA,NA,NA,pomp.4589,1,None
OTU1759,US,0.8000,None,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4589,1,None
OTU1880,GS,98.3,BOLD:AAG7648.1,Animalia,Arthropoda,Insecta,Hymenoptera,Xiphydriidae,Xiphydria,NA,pomp.4589,5,BOLD:AAG7648
OTU2028,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4589,1,None
OTU76,US,1.0000,None,Animalia,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,pomp.4590,1738,None
OTU283,GS,100.0,BOLD:AAP5530.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Gelechia,Gelechia albisparsella,pomp.4590,302,BOLD:AAP5530
OTU358,US,1.0000,BOLD:ACW4480.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4590,235,BOLD:ACW4480
OTU472,SS,0.6200,BOLD:ABX2454.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,pomp.4590,29,BOLD:ABX2454
OTU581,US,0.0000,BOLD:AAD9035.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4590,100,BOLD:AAD9035
OTU620,US,0.3081,BOLD:ACA3067.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4590,52,BOLD:ACA3067
OTU668,US,0.0000,None,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,pomp.4590,12,None
OTU766,US,0.2833,BOLD:ACZ5284.8,Animalia,Arthropoda,Diplopoda,Julida,NA,NA,NA,pomp.4590,41,BOLD:ACZ5284
OTU778,US,1.0000,None,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4590,4,None
OTU814,US,1.0000,None,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4590,3,None
OTU979,US,0.0000,BOLD:ACT8175.1,Animalia,Arthropoda,Insecta,Trichoptera,NA,NA,NA,pomp.4590,23,BOLD:ACT8175
OTU1020,US,0.2887,None,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4590,8,None
OTU1050,US,0.9881,None,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4590,28,None
OTU1057,US,1.0000,BOLD:AAL5775.1,Animalia,Arthropoda,Arachnida,Solifugae,NA,NA,NA,pomp.4590,28,BOLD:AAL5775
OTU1816,US,1.0000,BOLD:ACF7687.2,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4590,1,BOLD:ACF7687
OTU1956,US,0.8000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4590,1,None
OTU2015,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4590,3,None
OTU2043,US,1.0000,BOLD:AAO3984.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4590,2,BOLD:AAO3984
OTU60,GS,100.0,BOLD:AAA4516.5,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Prochoerodes,Prochoerodes lineola,pomp.4591,754,BOLD:AAA4516
OTU76,US,1.0000,None,Animalia,Arthropoda,Hexanauplia,Harpacticoida,NA,NA,NA,pomp.4591,150,None
OTU112,US,0.0000,BOLD:AAE9808.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4591,49,BOLD:AAE9808
OTU128,GS,100.0,BOLD:AAA4456.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Speranza,Speranza pustularia,pomp.4591,156,BOLD:AAA4456
OTU132,GS,100.0,BOLD:AAB4363.2,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epimecis,Epimecis hortaria,pomp.4591,618,BOLD:AAB4363
OTU160,US,0.1429,BOLD:ABA8360.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,pomp.4591,47,BOLD:ABA8360
OTU177,US,1.0000,BOLD:AAK4381.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,pomp.4591,61,BOLD:AAK4381
OTU193,US,1.0000,None,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4591,7,None
OTU197,US,0.2833,BOLD:ACU4187.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4591,222,BOLD:ACU4187
OTU206,GS,100.0,BOLD:AAG6831.6,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Sphaeromias,NA,pomp.4591,114,BOLD:AAG6831
OTU207,GS,98.9,BOLD:AAB7933.1,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala anastera,pomp.4591,129,BOLD:AAB7933
OTU221,GS,100.0,BOLD:ACB3691.1,Animalia,Arthropoda,Insecta,Coleoptera,Cantharidae,Podabrus,Podabrus brevicollis,pomp.4591,26,BOLD:ACB3691
OTU247,GS,99.4,BOLD:AAJ0542.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Euryopis,Euryopis funebris,pomp.4591,20,BOLD:AAJ0542
OTU250,GS,100.0,BOLD:ACN8224.1,Animalia,Arthropoda,Insecta,Hymenoptera,Braconidae,Meteorus,NA,pomp.4591,11,BOLD:ACN8224
OTU279,GS,99.4,BOLD:AAB6013.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Phaecasiophora,Phaecasiophora confixana,pomp.4591,63,BOLD:AAB6013
OTU299,GS,100.0,BOLD:AAB4783.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos subsignaria,pomp.4591,195,BOLD:AAB4783
OTU301,US,0.0000,None,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4591,7,None
OTU355,US,1.0000,BOLD:AAV7436.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4591,178,BOLD:AAV7436
OTU361,US,0.8000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4591,1,None
OTU409,GS,100.0,BOLD:AAD2111.2,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Tmarus,Tmarus angulatus,pomp.4591,31,BOLD:AAD2111
OTU422,US,1.0000,BOLD:ACY2235.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4591,49,BOLD:ACY2235
OTU423,US,0.0000,BOLD:ACT9373.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4591,10,BOLD:ACT9373
OTU434,US,0.9881,BOLD:ACT7952.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4591,75,BOLD:ACT7952
OTU488,US,1.0000,BOLD:ACK3774.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,pomp.4591,14,BOLD:ACK3774
OTU552,US,0.0000,BOLD:ACX9743.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,pomp.4591,30,BOLD:ACX9743
OTU553,US,1.0000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,pomp.4591,2,None
OTU564,US,0.0000,BOLD:AAU8588.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,pomp.4591,3,BOLD:AAU8588
OTU668,US,0.0000,None,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,pomp.4591,17,None
OTU719,US,0.2833,BOLD:ACB3721.2,Animalia,Arthropoda,Insecta,Ephemeroptera,NA,NA,NA,pomp.4591,2,BOLD:ACB3721
