OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads
OTU105,GS,100.0,BOLD:AAB7936,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Inga,Inga sparsiciliella,72717EgnerPoolB1,376
OTU125,GS,100.0,BOLD:ACX4440,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,72717EgnerPoolB1,432
OTU143,SS,0.2100,BOLD:ACW8718,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,375
OTU148,GS,100.0,BOLD:AAK7352,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metepeira,Metepeira labyrinthea,72717EgnerPoolB1,50
OTU149,GS,99.4,BOLD:AAH4942,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Dichomeris,NA,72717EgnerPoolB1,832
OTU168,GS,100.0,BOLD:AAC3609,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Paectes,Paectes abrostoloides,72717EgnerPoolB1,137
OTU175,GS,99.4,BOLD:AAC7367,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Isocorypha,Isocorypha mediostriatella,72717EgnerPoolB1,224
OTU180,GS,100.0,BOLD:AAM8933,Animalia,Arthropoda,Insecta,Psocodea,Amphipsocidae,Polypsocus,Polypsocus corruptus,72717EgnerPoolB1,81
OTU189,GS,100.0,BOLD:ABV2225,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia,NA,72717EgnerPoolB1,148
OTU193,GS,98.9,BOLD:AAI4436,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Aristotelia,NA,72717EgnerPoolB1,105
OTU206,GS,99.4,BOLD:AAN8390,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neurocolpus,Neurocolpus nubilus,72717EgnerPoolB1,191
OTU209,GS,100.0,BOLD:AAF9019,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,41
OTU219,GS,100.0,BOLD:AAD1855,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Episimus,Episimus tyrius,72717EgnerPoolB1,89
OTU250,GS,100.0,BOLD:AAF3786,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora argentialbella,72717EgnerPoolB1,1218
OTU257,GS,100.0,BOLD:AAA5803,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus,Lygus lineolaris,72717EgnerPoolB1,289
OTU258,GS,100.0,BOLD:ACA7555,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,72717EgnerPoolB1,124
OTU297,GS,100.0,BOLD:ACT1102,Animalia,Arthropoda,Insecta,Lepidoptera,Carposinidae,Carposina,NA,72717EgnerPoolB1,273
OTU330,GS,100.0,BOLD:ACL2176,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,72717EgnerPoolB1,310
OTU346,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,72717EgnerPoolB1,15
OTU424,GS,100.0,BOLD:ABZ3656,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis reflexella,72717EgnerPoolB1,122
OTU465,SS,0.6600,BOLD:AAG0758,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,72717EgnerPoolB1,98
OTU572,GS,100.0,BOLD:ABW4438,Animalia,Arthropoda,Insecta,Coleoptera,Histeridae,Carcinops,Carcinops pumilio,72717EgnerPoolB1,99
OTU576,GS,100.0,BOLD:AAA5192,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,Platynota idaeusalis,72717EgnerPoolB1,70
OTU577,GS,100.0,BOLD:AAF4509,Animalia,Arthropoda,Insecta,Lepidoptera,Momphidae,Mompha,Mompha cephalonthiella,72717EgnerPoolB1,143
OTU580,GS,98.3,BOLD:ABZ0908,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma ferruginea,72717EgnerPoolB1,20
OTU586,US,0.9885,BOLD:ACB2737,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,72717EgnerPoolB1,258
OTU638,GS,99.4,BOLD:ABZ3332,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis reflexella,72717EgnerPoolB1,168
OTU676,GS,100.0,BOLD:AAG0084,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,NA,72717EgnerPoolB1,185
OTU688,GS,97.8,BOLD:ACC0381,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Tropidosteptes,NA,72717EgnerPoolB1,128
OTU729,GS,100.0,BOLD:AAA7282,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Cydia,Cydia caryana,72717EgnerPoolB1,171
OTU800,SS,0.6400,BOLD:ACA6126,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,NA,NA,72717EgnerPoolB1,129
OTU944,GS,100.0,BOLD:AAB1667,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia quercifoliana,72717EgnerPoolB1,178
OTU990,GS,100.0,BOLD:AAB2142,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Prolimacodes,Prolimacodes badia,72717EgnerPoolB1,50
OTU1097,GS,97.2,BOLD:AAN5451,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,NA,72717EgnerPoolB1,30
OTU1116,SS,0.5000,BOLD:ABZ0908,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,42
OTU1120,SS,0.3300,BOLD:ACN0279,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,126
OTU1159,SS,0.6500,BOLD:AAG0084,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,72717EgnerPoolB1,84
OTU1210,GS,97.2,BOLD:AAF4632,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Epiphragma,Epiphragma solatrix,72717EgnerPoolB1,27
OTU1268,GS,97.8,BOLD:AAM6211,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,NA,72717EgnerPoolB1,29
OTU1317,SS,0.0100,BOLD:AAN5451,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,NA,72717EgnerPoolB1,4
OTU1318,SS,0.7500,BOLD:ABV9403,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,72717EgnerPoolB1,1
OTU1380,GS,97.8,BOLD:ADC9340,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Tibicen,Tibicen canicularis,72717EgnerPoolB1,62
OTU1381,GS,100.0,BOLD:ACF3514,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,Oecetis,Oecetis inconspicua,72717EgnerPoolB1,18
OTU1482,SS,0.8700,BOLD:AAF9008,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Helius,Helius flavipes,72717EgnerPoolB1,155
OTU1494,US,0.8732,BOLD:AAF4632,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,1
OTU1513,GS,97.8,BOLD:ACL2801,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma macrocera,72717EgnerPoolB1,1
OTU1522,SS,0.5700,BOLD:AAF9008,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,2
OTU1641,GS,97.8,BOLD:AAW5755,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis reflexella,72717EgnerPoolB1,91
OTU1756,SS,0.9700,BOLD:AAG3848,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex erraticus,72717EgnerPoolB1,1
OTU1825,SS,0.1100,BOLD:AAK6678,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,3
OTU1869,SS,0.6700,BOLD:AAF4632,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB1,1
OTU1871,SS,0.8500,BOLD:AAG3848,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex erraticus,72717EgnerPoolB1,1
OTU1910,SS,0.8700,BOLD:ABZ0908,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma ferruginea,72717EgnerPoolB1,1
OTU5,GS,99.4,BOLD:AAN5451,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,NA,72717EgnerPoolB2,877
OTU11,GS,99.4,BOLD:AAG3848,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex erraticus,72717EgnerPoolB2,744
OTU12,GS,100.0,BOLD:AAE5173,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,PschodididGC,NA,72717EgnerPoolB2,10067
OTU15,GS,100.0,BOLD:ABZ0908,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma ferruginea,72717EgnerPoolB2,245
OTU34,GS,100.0,BOLD:AAM6211,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,NA,72717EgnerPoolB2,558
OTU35,GS,100.0,BOLD:ABW4215,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,Glyptotendipes meridionalis,72717EgnerPoolB2,182
OTU61,GS,99.4,BOLD:ABV1681,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Lixophaga,NA,72717EgnerPoolB2,2456
OTU65,GS,100.0,BOLD:AAA1517,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Choristoneura,Choristoneura rosaceana,72717EgnerPoolB2,224
OTU75,GS,99.4,BOLD:AAF4974,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Dipoena,Dipoena nigra,72717EgnerPoolB2,163
OTU92,GS,100.0,BOLD:AAG8582,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Asaphocrita,Asaphocrita aphidiella,72717EgnerPoolB2,51
OTU104,US,0.9963,BOLD:ADC6487,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB2,1362
OTU105,GS,100.0,BOLD:AAB7936,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Inga,Inga sparsiciliella,72717EgnerPoolB2,86
OTU125,GS,100.0,BOLD:ACX4440,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,72717EgnerPoolB2,114
OTU146,GS,99.4,BOLD:ABV9238,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Gonomyia,NA,72717EgnerPoolB2,45
OTU165,US,0.9936,BOLD:ACF8271,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB2,22
OTU168,GS,100.0,BOLD:AAC3609,Animalia,Arthropoda,Insecta,Lepidoptera,Euteliidae,Paectes,Paectes abrostoloides,72717EgnerPoolB2,111
OTU172,GS,99.4,BOLD:AAA8563,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Parallelia,Parallelia bistriaris,72717EgnerPoolB2,48
OTU175,GS,99.4,BOLD:AAC7367,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Isocorypha,Isocorypha mediostriatella,72717EgnerPoolB2,132
OTU180,GS,100.0,BOLD:AAM8933,Animalia,Arthropoda,Insecta,Psocodea,Amphipsocidae,Polypsocus,Polypsocus corruptus,72717EgnerPoolB2,33
OTU198,GS,99.4,BOLD:ABZ1242,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,72717EgnerPoolB2,15
OTU205,GS,99.4,BOLD:ACX9537,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,Araneus pegnia,72717EgnerPoolB2,15
OTU206,GS,99.4,BOLD:AAN8390,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neurocolpus,Neurocolpus nubilus,72717EgnerPoolB2,19
OTU213,GS,100.0,BOLD:AAD4936,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia,Caloptilia sassafrasella,72717EgnerPoolB2,42
OTU217,GS,99.4,BOLD:AAJ5015,Animalia,Arthropoda,Insecta,Hemiptera,Acanaloniidae,Acanalonia,Acanalonia conica,72717EgnerPoolB2,7
OTU239,GS,100.0,BOLD:ABW2526,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,NA,72717EgnerPoolB2,58
OTU244,GS,100.0,BOLD:AAB1096,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis glandulella,72717EgnerPoolB2,43
OTU250,GS,100.0,BOLD:AAF3786,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora argentialbella,72717EgnerPoolB2,727
OTU258,GS,100.0,BOLD:ACA7555,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,72717EgnerPoolB2,208
OTU285,GS,100.0,BOLD:AAD2340,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Scardiella,Scardiella approximatella,72717EgnerPoolB2,31
OTU297,GS,100.0,BOLD:ACT1102,Animalia,Arthropoda,Insecta,Lepidoptera,Carposinidae,Carposina,NA,72717EgnerPoolB2,116
OTU346,US,0.0000,None,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,72717EgnerPoolB2,52
OTU424,GS,100.0,BOLD:ABZ3656,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis reflexella,72717EgnerPoolB2,70
OTU465,SS,0.6600,BOLD:AAG0758,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,72717EgnerPoolB2,50
OTU576,GS,100.0,BOLD:AAA5192,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,Platynota idaeusalis,72717EgnerPoolB2,7
OTU577,GS,100.0,BOLD:AAF4509,Animalia,Arthropoda,Insecta,Lepidoptera,Momphidae,Mompha,Mompha cephalonthiella,72717EgnerPoolB2,37
OTU638,GS,99.4,BOLD:ABZ3332,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Psilocorsis,Psilocorsis reflexella,72717EgnerPoolB2,129
OTU670,US,0.9546,BOLD:AAG0758,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB2,17
OTU678,GS,98.6,BOLD:AAB0602,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Pseudotelphusa,Pseudotelphusa quercinigracella,72717EgnerPoolB2,89
OTU793,GS,98.9,BOLD:AAB8800,Animalia,Arthropoda,Insecta,Lepidoptera,Autostichidae,Gerdana,Gerdana caritella,72717EgnerPoolB2,113
OTU800,SS,0.6400,BOLD:ACA6126,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,NA,NA,72717EgnerPoolB2,21
OTU845,GS,100.0,BOLD:ACA8954,Animalia,Arthropoda,Insecta,Hemiptera,Derbidae,Omolicna,Omolicna uhleri,72717EgnerPoolB2,21
OTU888,GS,100.0,BOLD:AAG5541,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,NA,72717EgnerPoolB2,53
OTU890,GS,100.0,BOLD:ACE3004,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Hyperstrotia,Hyperstrotia nana,72717EgnerPoolB2,17
OTU915,GS,100.0,BOLD:AAC5648,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Anania,Anania helvalis,72717EgnerPoolB2,70
OTU916,GS,100.0,BOLD:AAB2176,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Arogalea,Arogalea cristifasciella,72717EgnerPoolB2,26
OTU934,GS,100.0,BOLD:AAK0004,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Verrucosa,Verrucosa arenata,72717EgnerPoolB2,13
OTU938,GS,98.3,BOLD:AAP8181,Animalia,Arthropoda,Insecta,Orthoptera,NA,NA,NA,72717EgnerPoolB2,1
OTU982,GS,98.3,BOLD:AAP9050,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,NA,72717EgnerPoolB2,41
OTU1010,SS,0.7400,BOLD:AAY0809,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,72717EgnerPoolB2,36
OTU1108,GS,97.2,BOLD:AAB0603,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Pseudotelphusa,Pseudotelphusa quercinigracella,72717EgnerPoolB2,69
OTU1116,SS,0.5000,BOLD:ABZ0908,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB2,15
OTU1210,GS,97.2,BOLD:AAF4632,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Epiphragma,Epiphragma solatrix,72717EgnerPoolB2,8
OTU1211,US,0.7924,BOLD:AAG0758,Animalia,Arthropoda,Insecta,NA,NA,NA,NA,72717EgnerPoolB2,1
OTU1223,GS,97.8,BOLD:ABV9238,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Gonomyia,NA,72717EgnerPoolB2,6
OTU1287,GS,98.9,BOLD:AAP4821,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,NA,NA,72717EgnerPoolB2,26
OTU1380,GS,97.8,BOLD:ADC9340,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Tibicen,Tibicen canicularis,72717EgnerPoolB2,3
OTU1410,GS,98.9,BOLD:AAD5003,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Cameraria,Cameraria ostryarella,72717EgnerPoolB2,51
OTU1482,SS,0.8700,BOLD:AAF9008,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Helius,Helius flavipes,72717EgnerPoolB2,7
OTU1639,GS,98.9,BOLD:ACC7925,Animalia,Arthropoda,Arachnida,Trombidiformes,Scutacaridae,NA,NA,72717EgnerPoolB2,38
OTU1648,US,0.8732,BOLD:AAG0758,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,72717EgnerPoolB2,4
OTU1751,US,0.0000,BOLD:AAD7964,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,72717EgnerPoolB2,11
OTU1825,SS,0.1100,BOLD:AAK6678,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB2,2
OTU5,GS,99.4,BOLD:AAN5451,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eustala,NA,72717EgnerPoolB3,1087
OTU7,GS,100.0,BOLD:AAF4632,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Epiphragma,Epiphragma solatrix,72717EgnerPoolB3,608
OTU11,GS,99.4,BOLD:AAG3848,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex erraticus,72717EgnerPoolB3,2518
OTU12,GS,100.0,BOLD:AAE5173,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,PschodididGC,NA,72717EgnerPoolB3,7372
OTU17,GS,100.0,BOLD:AAB3702,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Potamyia,Potamyia flava,72717EgnerPoolB3,125
OTU23,GS,100.0,BOLD:AAF9008,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Helius,Helius flavipes,72717EgnerPoolB3,475
OTU34,GS,100.0,BOLD:AAM6211,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,NA,72717EgnerPoolB3,420
OTU35,GS,100.0,BOLD:ABW4215,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,Glyptotendipes meridionalis,72717EgnerPoolB3,142
OTU37,GS,100.0,BOLD:AAB0484,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Gypsonoma,Gypsonoma salicicolana,72717EgnerPoolB3,649
OTU57,GS,100.0,BOLD:AAI1618,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Coquillettidia,Coquillettidia perturbans,72717EgnerPoolB3,86
OTU61,GS,99.4,BOLD:ABV1681,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Lixophaga,NA,72717EgnerPoolB3,878
OTU65,GS,100.0,BOLD:AAA1517,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Choristoneura,Choristoneura rosaceana,72717EgnerPoolB3,66
OTU75,GS,99.4,BOLD:AAF4974,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Dipoena,Dipoena nigra,72717EgnerPoolB3,160
OTU77,SS,0.4000,BOLD:ABU7092,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,72717EgnerPoolB3,106
OTU88,GS,100.0,BOLD:AAE0434,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Uranotaenia,Uranotaenia sapphirina,72717EgnerPoolB3,21
OTU92,GS,100.0,BOLD:AAG8582,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Asaphocrita,Asaphocrita aphidiella,72717EgnerPoolB3,146
OTU104,US,0.9963,BOLD:ADC6487,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB3,2803
OTU105,GS,100.0,BOLD:AAB7936,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,Inga,Inga sparsiciliella,72717EgnerPoolB3,352
OTU123,GS,99.4,BOLD:AAM8787,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris laetitia,72717EgnerPoolB3,64
OTU131,US,0.9919,BOLD:AAL9946,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB3,23
OTU143,SS,0.2100,BOLD:ACW8718,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB3,113
OTU144,GS,100.0,BOLD:AAN6304,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Araneus,Araneus guttulatus,72717EgnerPoolB3,118
OTU148,GS,100.0,BOLD:AAK7352,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Metepeira,Metepeira labyrinthea,72717EgnerPoolB3,127
OTU149,GS,99.4,BOLD:AAH4942,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Dichomeris,NA,72717EgnerPoolB3,542
OTU159,US,1.0000,BOLD:ACG2017,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,72717EgnerPoolB3,74
OTU165,US,0.9936,BOLD:ACF8271,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,72717EgnerPoolB3,49
OTU172,GS,99.4,BOLD:AAA8563,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Parallelia,Parallelia bistriaris,72717EgnerPoolB3,59
OTU175,GS,99.4,BOLD:AAC7367,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Isocorypha,Isocorypha mediostriatella,72717EgnerPoolB3,147
OTU180,GS,100.0,BOLD:AAM8933,Animalia,Arthropoda,Insecta,Psocodea,Amphipsocidae,Polypsocus,Polypsocus corruptus,72717EgnerPoolB3,29
OTU186,GS,99.4,BOLD:ACN8633,Animalia,Arthropoda,Insecta,Lepidoptera,Carposinidae,Carposina,NA,72717EgnerPoolB3,36
OTU203,GS,100.0,BOLD:AAB0603,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Pseudotelphusa,Pseudotelphusa quercinigracella,72717EgnerPoolB3,505
OTU206,GS,99.4,BOLD:AAN8390,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Neurocolpus,Neurocolpus nubilus,72717EgnerPoolB3,112
OTU215,GS,100.0,BOLD:AAA2490,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Palpita,Palpita magniferalis,72717EgnerPoolB3,49
OTU217,GS,99.4,BOLD:AAJ5015,Animalia,Arthropoda,Insecta,Hemiptera,Acanaloniidae,Acanalonia,Acanalonia conica,72717EgnerPoolB3,25
OTU235,GS,100.0,BOLD:AAG3918,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,NA,72717EgnerPoolB3,59
OTU244,GS,100.0,BOLD:AAB1096,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasis,Blastobasis glandulella,72717EgnerPoolB3,42
OTU250,GS,100.0,BOLD:AAF3786,Animalia,Arthropoda,Insecta,Lepidoptera,Coleophoridae,Coleophora,Coleophora argentialbella,72717EgnerPoolB3,480
OTU258,GS,100.0,BOLD:ACA7555,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,72717EgnerPoolB3,45
OTU263,GS,98.9,BOLD:AAC4322,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,Platynota flavedana,72717EgnerPoolB3,73
OTU269,GS,97.2,BOLD:AAP9050,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,NA,NA,72717EgnerPoolB3,29
OTU271,GS,98.9,BOLD:ABX3627,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,NA,NA,72717EgnerPoolB3,52
OTU285,GS,100.0,BOLD:AAD2340,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Scardiella,Scardiella approximatella,72717EgnerPoolB3,32
