taxID,GenbankIDs,PercID,BitScore,Species,WellNumber,BatID
27668,gi|726974422|gb|KM382098.1|,97.71,300,Myotis leibii,02B,DEY3768L
27668,gi|726974422|gb|KM382098.1|,97.16,296,Myotis leibii,01B,DEY3768R
27668,gi|726974422|gb|KM382098.1|,97.33,316,Myotis leibii,04B,DEY3769L
27668,gi|726974422|gb|KM382098.1|,97.25,307,Myotis leibii,03B,DEY3769R
27668,gi|726974422|gb|KM382098.1|,96.83,315,Myotis leibii,06B,DEY3770L
27668,gi|726974422|gb|KM382098.1|,97.22,305,Myotis leibii,05B,DEY3770R
27668,gi|726974422|gb|KM382098.1|,97.73,303,Myotis leibii,07B,DEY3771L
27668,gi|726974422|gb|KM382098.1|,97.34,318,Myotis leibii,08B,DEY3771R
27668,gi|726974422|gb|KM382098.1|,97.83,318,Myotis leibii,09B,DEY3772L
27668,gi|726974422|gb|KM382098.1|,97.71,300,Myotis leibii,10B,DEY3772R
27668,gi|726974422|gb|KM382098.1|,97.16,296,Myotis leibii,12B,DEY3773L
27668,gi|726974422|gb|KM382098.1|,98.31,311,Myotis leibii,11B,DEY3773R
27668,gi|726974422|gb|KM382098.1|,97.28,311,Myotis leibii,02C,DEY3774L
27668,gi|726974422|gb|KM382098.1|,97.33,316,Myotis leibii,01C,DEY3774R
27668,gi|726974422|gb|KM382098.1|,97.19,300,Myotis leibii,04C,DEY3775L
27668,gi|726974422|gb|KM382098.1|,96.81,313,Myotis leibii,03C,DEY3775R
27668,gi|726974422|gb|KM382098.1|,97.14,294,Myotis leibii,06C,DEY3776L
27668,gi|726974422|gb|KM382098.1|,96.72,303,Myotis leibii,05C,DEY3776R
27668,gi|726974422|gb|KM382098.1|,97.33,316,Myotis leibii,08C,DEY3777L
27668,gi|726974422|gb|KM382098.1|,96.81,313,Myotis leibii,07C,DEY3777R
27668,gi|726974422|gb|KM382098.1|,97.28,311,Myotis leibii,09C,DEY3779L
27668,gi|726974422|gb|KM382098.1|,96.81,311,Myotis leibii,10C,DEY3779R
27668,gi|726974422|gb|KM382098.1|,97.87,324,Myotis leibii,11C,DEY3780L
27668,gi|726974422|gb|KM382098.1|,98.29,307,Myotis leibii,12C,DEY3780R
27668,gi|726974422|gb|KM382098.1|,97.41,327,Myotis leibii,01D,DEY3781L
27668,gi|726974422|gb|KM382098.1|,97.16,298,Myotis leibii,02D,DEY3781R
27668,gi|726974422|gb|KM382098.1|,97.7,300,Myotis leibii,12E,DEY3782L
27668,gi|726974422|gb|KM382098.1|,97.87,324,Myotis leibii,11E,DEY3782R
258941,gi|726974432|gb|KM382103.1|,98.01,263,Myotis septentrionalis,06G,DEY3783L
258941,gi|726974432|gb|KM382103.1|,98.01,263,Myotis septentrionalis,05G,DEY3783R
27668,gi|726974422|gb|KM382098.1|,97.73,302,Myotis leibii,07G,DEY3784L
27668,gi|726974422|gb|KM382098.1|,97.14,294,Myotis leibii,08G,DEY3784R
27668,gi|726974422|gb|KM382098.1|,97.24,305,Myotis leibii,09G,DEY3785L
27668,gi|726974422|gb|KM382098.1|,97.14,294,Myotis leibii,10G,DEY3785R
27668,gi|726974422|gb|KM382098.1|,97.16,296,Myotis leibii,02F,DEY3786L
27668,gi|726974422|gb|KM382098.1|,97.74,305,Myotis leibii,01F,DEY3786R
27668,gi|726974422|gb|KM382098.1|,97.28,311,Myotis leibii,04F,DEY3787L
27668,gi|726974422|gb|KM382098.1|,98.78,291,Myotis leibii,03F,DEY3787R
27668,gi|726974422|gb|KM382098.1|,97.75,305,Myotis leibii,05F,DEY3788L
27668,gi|726974422|gb|KM382098.1|,97.34,318,Myotis leibii,06F,DEY3788R
27668,gi|726974422|gb|KM382098.1|,97.75,305,Myotis leibii,07F,DEY3789L
27668,gi|726974422|gb|KM382098.1|,97.19,300,Myotis leibii,08F,DEY3789R
27668,gi|726974422|gb|KM382098.1|,97.25,307,Myotis leibii,10F,DEY3790L
27668,gi|726974422|gb|KM382098.1|,97.21,302,Myotis leibii,09F,DEY3790R
27668,gi|726974422|gb|KM382098.1|,98.33,316,Myotis leibii,12F,DEY3791L
27668,gi|726974422|gb|KM382098.1|,97.7,300,Myotis leibii,11F,DEY3791R
27668,gi|726974422|gb|KM382098.1|,97.71,300,Myotis leibii,01G,DEY3792L
27668,gi|726974422|gb|KM382098.1|,96,283,Myotis leibii,02G,DEY3792R
27668,gi|726974422|gb|KM382098.1|,97.19,300,Myotis leibii,06D,DEY3801L
27668,gi|726974422|gb|KM382098.1|,97.35,320,Myotis leibii,05D,DEY3801R
27668,gi|726974422|gb|KM382098.1|,97.33,316,Myotis leibii,08D,DEY3802L
27668,gi|726974422|gb|KM382098.1|,97.75,305,Myotis leibii,07D,DEY3802R
27668,gi|726974422|gb|KM382098.1|,97.28,311,Myotis leibii,10D,DEY3803L
27668,gi|726974422|gb|KM382098.1|,97.14,294,Myotis leibii,09D,DEY3803R
27668,gi|726974422|gb|KM382098.1|,97.24,305,Myotis leibii,03D,DEY4691L
27668,gi|726974422|gb|KM382098.1|,97.19,300,Myotis leibii,04D,DEY4691R
