SampleID,SiteNumber,CollectionDate,WeekOfYear,NetNumber,BirdSpecies,Ordercaught,Description,Notes
sea.18,21,7/17/14,29,7,luwa,4,sea01.21n07_luwa4_071714,noRecord
sea.19,21,7/17/14,29,7,luwa,1,sea01.21n07_luwa1_071714,noRecord
sea.20,9,6/19/14,25,3,bewr,2,sea01.09n03_bewr2_061914,noRecord
sea.21,9,5/27/14,22,1,luwa,1,sea01.09n1_luwa1_052714,noRecord
sea.22,2,5/16/14,20,1,yewa,1,sea01.02n1_yewa1_051614,noRecord
sea.23,21,6/11/14,24,5,luwa,1,sea01.21n05_luwa1_061114,noRecord
sea.01C04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.c4,noRecord
sea.24,1,5/15/14,20,2,yewa,2,sea01.01n2_yewa2_051514,noRecord
sea.25,21,6/11/14,24,4,ywar,1,sea01.21n04_ywar1_061114,noRecord
sea.26,5,6/23/14,26,10,ywar,1,sea01.05n10_ywar1_062314,noRecord
sea.27,2,6/13/14,24,7,ywar,1,sea01.02n07_ywar1_061314,noRecord
sea.01C09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.c9,noRecord
sea.28,21,7/17/14,29,7,luwa,6,sea01.21n07_luwa6_071714,noRecord
sea.29,21,7/17/14,29,9,luwa,4,sea01.21n09_luwa4_071714,noRecord
sea.30,9,6/19/14,25,3,bewr,1,sea01.09n03_bewr1_061914,noRecord
sea.31,1,6/12/14,24,5,luwa,1,sea01.01n05_luwa1_061214,noRecord
sea.32,10,5/21/14,21,1,luwa,1,sea01.10n1_luwa1_052114,noRecord
sea.33,11,6/2/14,23,4,ywar,1,sea01.11n04_ywar1_060214,noRecord
sea.01D04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.d4,noRecord
sea.34,9,6/19/14,25,3,ywar,2,sea01.09n03_ywar2_061914,noRecord
sea.35,20,5/19/14,21,1,luwa,1,sea01.20n1_luwa1_051914,noRecord
sea.36,10,7/22/14,30,7,luwa,1,sea01.10n07_luwa1_072214,noRecord
sea.37,2,6/13/14,24,3,ywar,1,sea01.02n03_ywar1_061314,noRecord
sea.01D09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.d9,noRecord
sea.39,21,7/17/14,29,7,luwa,5,sea01.21n07_luwa5_071714,noRecord
sea.40,21,7/17/14,29,6,ywar,5,sea01.21n06_ywar5_071714,noRecord
sea.41,2,6/13/14,24,6,ybch,1,sea01.02n06_ybch1_061314,noRecord
sea.42,15,5/20/14,21,1,luwa,1,sea01.15n1_luwa1_052014,noRecord
sea.43,10,5/21/14,21,2,luwa,1,sea01.10n2_luwa1_052114,noRecord
sea.44,21,6/11/14,24,3,luwa,2,sea01.21n03_luwa2_061114,noRecord
sea.01E04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.e4,noRecord
sea.45,1,6/12/14,24,3,ywar,1,sea01.01n03_ywar1_061214,noRecord
sea.46,5,6/18/14,25,3,luwa,1,sea01.05n03_luwa1_061814,noRecord
sea.47,5,6/18/14,25,2,luwa,2,sea01.05n02_luwa2_061814,noRecord
sea.48,14,7/20/14,29,1,ywar,1,sea01.14n01_ywar1_072014,noRecord
sea.01E09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.e9,noRecord
sea.49,21,7/17/14,29,6,ywar,6,sea01.21n06_ywar6_071714,noRecord
sea.50,21,7/17/14,29,7,ywar,1,sea01.21n07_ywar1_071714,noRecord
sea.51,13,7/15/14,29,6,bewr,1,sea01.13n06_bewr1_071514,noRecord
sea.52,1,5/15/14,20,1,yewa,1,sea01.01n1_yewa1_051514,noRecord
sea.53,10,5/21/14,21,2,luwa,2,sea01.10n2_luwa2_052114,noRecord
sea.54,21,6/11/14,24,3,yewa,2,sea01.21n03_yewa2_061114,noRecord
sea.01F04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.f4,noRecord
sea.55,1,6/12/14,24,4,luwa,1,sea01.01n04_luwa1_061214,noRecord
sea.56,21,6/11/14,24,2,luwa,1,sea01.21n02_luwa1_061114,noRecord
sea.57,5,6/18/14,25,2,luwa,3,sea01.05n02_luwa3_061814,noRecord
sea.58,14,7/20/14,29,1,ywar,2,sea01.14n01_ywar2_072014,noRecord
sea.01F09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.f9,noRecord
sea.59,21,7/17/14,29,6,ywar,2,sea01.21n06_ywar2_071714,noRecord
sea.60,10,7/22/14,30,6,luwa,1,sea01.10n06_luwa1_072214,noRecord
sea.61,14,7/20/14,29,4,bewr,1,sea01.14n04_bewr1_072014,noRecord
sea.62,1,5/15/14,20,1,yewa,2,sea01.01n1_yewa2_051514,noRecord
sea.63,15,5/20/14,21,2,yewa,1,sea01.15n2_yewa1_052014,noRecord
sea.64,21,6/11/14,24,4,luwa,1,sea01.21n04_luwa1_061114,noRecord
sea.01G04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.g4,noRecord
sea.65,5,6/18/14,25,5,luwa,3,sea01.05n05_luwa3_061814,noRecord
sea.66,9,6/19/14,25,3,luwa,1,sea01.09n03_luwa1_061914,noRecord
sea.67,21,7/17/14,29,7,luwa,2,sea01.21n07_luwa2_071714,noRecord
sea.68,21,7/17/14,29,6,luwa,1,sea01.21n06_luwa1_071714,noRecord
sea.01G09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.g9,noRecord
sea.69,21,7/17/14,29,6,ywar,3,sea01.21n06_ywar3_071714,noRecord
sea.70,10,7/22/14,30,8,ywar,1,sea01.10n08_ywar1_072214,noRecord
sea.71,14,7/20/14,29,1,ybch,1,sea01.14n01_ybch1_072014,noRecord
sea.72,6,5/17/14,20,1,luwa,1,sea01.06n1_luwa1_051714,noRecord
sea.73,9,5/27/14,22,1,yewa,1,sea01.09n1_yewa1_052714,noRecord
sea.74,21,6/11/14,24,2,yewa,1,sea01.21n02_yewa1_061114,noRecord
sea.01H04,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.h4,noRecord
sea.75,5,6/21/14,25,7,ywar,1,sea01.05n07_ywar1_062114,noRecord
sea.76,9,6/19/14,25,5,luwa,1,sea01.09n05_luwa1_061914,noRecord
sea.77,2,6/13/14,24,7,ywar,2,sea01.02n07_ywar2_061314,noRecord
sea.78,21,7/17/14,29,6,ywar,1,sea01.21n06_ywar1_071714,noRecord
sea.01H09,noRecord,noRecord,noRecord,noRecord,blank,noRecord,blank01.h9,noRecord
sea.79,21,7/17/14,29,6,ywar,4,sea01.21n06_ywar4_071714,noRecord
sea.80,2,6/13/14,24,4,ybch,1,sea01.02n04_ybch1_061314,noRecord
sea.81,5,6/21/14,25,7,bewr,2,sea01.05n07_bewr2_062114,noRecord
sea.82,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,05n14_ybch1_071914,noRecord
sea.83,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,05n03_bewr1_061814,noRecord
sea.84,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,10n05_bewr1_072214,noRecord
sea.100,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MMN2_ABTO1_052213,noRecord
sea.108,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,GBN5_YBCH1_051413,noRecord
sea.116,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN6_COYE_061813,noRecord
sea.124,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MMN3_ATFL1_052113,noRecord
sea.132,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN2_BEWR1_071813,noRecord
sea.140,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,GBN5_WCSP1_051413,noRecord
sea.148,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN1_BHCO1_052913,noRecord
sea.156,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN5_VERD1_061213,noRecord
sea.164,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN1_SOSP2_062013,noRecord
sea.85,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,09n04_ybch1_061914,noRecord
sea.86,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,21n03_abto1_061114,noRecord
sea.87,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,10n06_bewr1_072214,noRecord
sea.101,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN2__BEWR2_071813,noRecord
sea.109,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN1_YEWA2_071913,noRecord
sea.117,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN6_LUWA2_062113,noRecord
sea.125,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN3_LUWA1_050813,noRecord
sea.133,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MMN1_LUWA1_052113,noRecord
sea.141,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN8_YEWA1_052313,noRecord
sea.149,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,GBN11_VERD1_052513,noRecord
sea.157,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,GBN17_VERD1_060613,noRecord
sea.165,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN6_YEWA1_062113,noRecord
sea.88,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,09n05_ybch1_061914,noRecord
sea.89,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,21n03_lego1_061114,noRecord
sea.02C03,noRecord,noRecord,noRecord,noRecord,blank,noRecord,noRecord,noRecord
sea.102,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN7_LUWA1_061813,noRecord
sea.110,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN3_ABTO1_061213,noRecord
sea.118,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN1_YBCH1_052913,noRecord
sea.126,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN6_SOSP1_062013,noRecord
sea.134,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,GBN11_YBCH1_052513,noRecord
sea.142,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MMN2_MAWA1_052113,noRecord
sea.150,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN11_LUWA1_052413,noRecord
sea.158,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN4_LUWA1_061213,noRecord
sea.166,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN6_ABTO1_062113,noRecord
sea.90,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,09n05_ybch2_061914,noRecord
sea.91,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,13n02_bewr2_061014,noRecord
sea.02D03,noRecord,noRecord,noRecord,noRecord,blank,noRecord,noRecord,noRecord
sea.103,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN11_YBCH1_052413,noRecord
sea.111,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN8_BEWR3_062213,noRecord
sea.119,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,NTC - I THINK,noRecord
sea.127,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN11_YEWA1_052413,noRecord
sea.135,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,GBN10_YEWA1_051513,noRecord
sea.143,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN8_YEWA2_052313,noRecord
sea.151,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN13_LUWA2_052413,noRecord
sea.159,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN10_BEVI2_071213,noRecord
sea.167,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN6_LUWA1_062113,noRecord
sea.92,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,02n07_bewr1_070814,noRecord
sea.93,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,21n01_lego1_061114,noRecord
sea.02E03,noRecord,noRecord,noRecord,noRecord,blank,noRecord,noRecord,noRecord
sea.104,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN9_YEWA1_062513,noRecord
sea.112,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN4_LUWA2_062113,noRecord
sea.120,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN6_ABTO2_062113,noRecord
sea.128,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN12_BEWR1_052413,noRecord
sea.136,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN7_YEWA1_051113,noRecord
sea.144,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,GBN12_CLSW1_052513,noRecord
sea.152,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN1_BLPH1_052913,noRecord
sea.160,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN10_BEWR1_071213,noRecord
sea.168,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN6_LUWA4_062113**,CONTAMINATED WITH SGN6_BHGR1_062113
sea.94,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,02n11_bewr_071814,noRecord
sea.95,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,13n02_bewr1_061014,noRecord
sea.02F03,noRecord,noRecord,noRecord,noRecord,blank,noRecord,noRecord,noRecord
sea.105,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN2_ABTO1_052913,noRecord
sea.113,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MMN7_YEWA1_060813,noRecord
sea.121,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN1_LUWA1_050713,noRecord
sea.129,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MMN6_LUWA6_052113,noRecord
sea.137,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MMN2_LUWA_052113,noRecord
sea.145,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN8_YEWA3_052313,noRecord
sea.153,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN13_LUWA1_052413,noRecord
sea.161,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN11_YEWA1_071213,noRecord
sea.169,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN6_BHGR1_062113**,SAMPLE WAS NOTCOTAMINATED
sea.96,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,02n12_bewr1_071814,noRecord
sea.97,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,13n01_bewr1_061014,noRecord
sea.02G03,noRecord,noRecord,noRecord,noRecord,blank,noRecord,noRecord,noRecord
sea.106,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN8_BEWR2_062213,noRecord
sea.114,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN15_YEWA1_072113,noRecord
sea.122,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN10_SOSP1_071213,noRecord
sea.130,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN_YBCH1_072013,noRecord
sea.138,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MMN1_BEWR1_052113,noRecord
sea.146,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,GBN12_WIWA1_052513,noRecord
sea.154,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN1_YEWA1_052913,noRecord
sea.162,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN10_BEWR2_071213,noRecord
sea.170,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN9_LUWA1_062213,noRecord
sea.98,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,05n07_bewr2_062114,noRecord
sea.99,noRecord,2/13/15,noRecord,noRecord,noRecord,noRecord,09n2_bewr1_052814,2013 recapture
sea.02H03,noRecord,noRecord,noRecord,noRecord,blank,noRecord,noRecord,noRecord
sea.107,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,MQN7_LUWA2_061813,noRecord
sea.115,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN6_ABTO1_072313,might be sgn16
sea.123,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,SGN1_YBCH1_062013,noRecord
sea.131,noRecord,2/7/14,noRecord,noRecord,noRecord,noRecord,BDN9_YEWA1_052313,noRecord
sea.139,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,BDN9_YEWA2_052313,noRecord
sea.147,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,MQN2_LUWA1_052913,noRecord
sea.155,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,GBN15_WIWA1_052613,noRecord
sea.163,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN1_VERD1_062013,noRecord
sea.171,noRecord,3/26/14,noRecord,noRecord,noRecord,noRecord,SGN6_BEWR1_062113,noRecord
