SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,Location,CollectDate,WeekOfYear,onclick,status
rut16-1410,OTU216,GS,99.4,BOLD:AAB9410.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris semipurpurana,SB,6/30/16,27,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB9410,pest
rut16-1415,OTU286,GS,99.4,BOLD:AAB7939.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia,Caloptilia alnivorella,SB,9/5/16,37,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB7939,pest
rut16-1415,OTU439,GSL,100.0,BOLD:ACE9100.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Eulithis,Eulithis gracilineata,SB,9/5/16,37,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACE9100,pest
rut16-1417,OTU127,GS,100.0,BOLD:AAC9062.2,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes ventrovittis,RK,4/22/16,17,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAC9062,pest
rut16-1421,OTU183,GS,100.0,BOLD:AAA6548.2,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,Malacosoma americanum,RK,6/15/16,25,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA6548,pest
rut16-1426,OTU216,GS,99.4,BOLD:AAB9410.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris semipurpurana,RK,8/21/16,34,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB9410,pest
rut16-1427,OTU375,GS,100.0,BOLD:AAB1667.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia quercifoliana,RK,9/5/16,37,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB1667,pest
rut16-1428,OTU321,GS,99.4,BOLD:ABX5888.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula abdominalis,RK,9/17/16,38,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABX5888,pest
rut16-1433,OTU232,GS,98.9,BOLD:AAA4439.3,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Chionodes,Chionodes obscurusella,JH,6/15/16,25,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA4439,pest
rut16-1441,OTU139,GS,100.0,BOLD:ABX6346.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,NA,JH,9/28/16,40,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABX6346,pest
rut16-1445,OTU144,GS,100.0,BOLD:AAD4355.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes provocans,SP,4/26/16,18,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD4355,pest
rut16-1457,OTU183,GS,100.0,BOLD:AAA6548.2,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,Malacosoma americanum,AK,7/6/16,28,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA6548,pest
rut16-1457,OTU216,GS,99.4,BOLD:AAB9410.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris semipurpurana,AK,7/6/16,28,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB9410,pest
rut16-1457,OTU361,GS,100.0,BOLD:AAB2825.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Acleris,Acleris schalleriana,AK,7/6/16,28,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB2825,pest
rut16-1457,OTU421,GS,100.0,BOLD:AAH4351.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tineidae,Opogona,Opogona omoscopa,AK,7/6/16,28,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAH4351,pest
rut16-1457,OTU436,GS,100.0,BOLD:AAB9405.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Archips,Archips grisea,AK,7/6/16,28,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB9405,pest
rut16-1461,OTU360,GS,100.0,BOLD:ACV1559.5,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,Tipula mallochi,ZG,7/21/16,30,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACV1559,pest
rut16-1467,OTU286,GS,99.4,BOLD:AAB7939.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia,Caloptilia alnivorella,SD,6/2/16,23,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB7939,pest
rut16-1468,OTU144,GS,100.0,BOLD:AAD4355.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes provocans,SD,6/15/16,25,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD4355,pest
rut16-1475,OTU139,GS,100.0,BOLD:ABX6346.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,NA,SD,9/28/16,40,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABX6346,pest
rut16-1475,OTU144,GS,100.0,BOLD:AAD4355.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes provocans,SD,9/28/16,40,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAD4355,pest
rut16-1475,OTU286,GS,99.4,BOLD:AAB7939.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Caloptilia,Caloptilia alnivorella,SD,9/28/16,40,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB7939,pest
rut16-1475,OTU332,GS,98.9,BOLD:AAA4130.1,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,Malacosoma disstria,SD,9/28/16,40,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA4130,pest
rut16-1475,OTU371,GS,100.0,BOLD:AAA2953.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,Epinotia solicitana,SD,9/28/16,40,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2953,pest
rut16-1477,OTU108,GS,100.0,BOLD:AAA5871.1,Animalia,Arthropoda,Insecta,Lepidoptera,Gelechiidae,Chionodes,Chionodes mediofuscella,DR,4/26/16,18,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA5871,pest
rut16-1477,OTU333,GS,100.0,BOLD:AAA4119.3,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia mariana,DR,4/26/16,18,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA4119,pest
rut16-1480,OTU139,GS,100.0,BOLD:ABX6346.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,Tipula,NA,HB,8/23/16,35,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABX6346,pest
rut16-negG07,OTU248,GS,99.4,BOLD:AAA3997.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Cladara,Cladara limitaria,,,NA,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA3997,pest
