,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,SampleID,CountReads,BOLDalt
11,OTU60_suspect_mock_chimera,GS,99.4,BOLD:AAA2314.8,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Pediasia,Pediasia trisecta,une-02,193,BOLD:AAA2314
12,OTU65_suspect_mock_chimera,GS,100.0,BOLD:AAB4783.1,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Ennomos,Ennomos subsignaria,une-02,3343,BOLD:AAB4783
13,OTU149_suspect_mock_chimera,GS,100.0,BOLD:AAA8210.1,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Stenacron,Stenacron interpunctatum,une-02,52,BOLD:AAA8210
14,OTU159_suspect_mock_chimera,GS,100.0,BOLD:AAA2052.4,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Lymantria dispar,une-02,694,BOLD:AAA2052
15,OTU195_suspect_mock_chimera,GS,100.0,BOLD:AAJ9298.2,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanolophia,Melanolophia signataria,une-02,550,BOLD:AAJ9298
16,OTU210,US,1.0000,BOLD:ACI4066.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,une-02,63,BOLD:ACI4066
17,OTU272_suspect_mock_chimera,GS,100.0,BOLD:AAC3054.1,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,Harpalus pensylvanicus,une-02,49,BOLD:AAC3054
18,OTU290,US,1.0000,None,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-02,43,None
19,OTU303_suspect_mock_chimera,US,1.0000,BOLD:ABW7966.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-02,66,BOLD:ABW7966
20,OTU334,US,1.0000,BOLD:ACF7919.1,Animalia,Arthropoda,Collembola,Poduromorpha,NA,NA,NA,une-02,97,BOLD:ACF7919
21,OTU397_suspect_mock_chimera,GS,99.4,BOLD:AAA7876.2,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Fissicrambus,NA,une-02,163,BOLD:AAA7876
22,OTU459,US,0.9881,BOLD:AAO9549.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,une-02,122,BOLD:AAO9549
23,OTU476,US,1.0000,BOLD:ACI6414.1,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,une-02,115,BOLD:ACI6414
24,OTU496,US,1.0000,BOLD:ACB2184.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-02,111,BOLD:ACB2184
25,OTU606_suspect_mock_chimera,GS,100.0,BOLD:ACP7594.1,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Xysticus,Xysticus auctificus,une-02,132,BOLD:ACP7594
26,OTU679,US,1.0000,BOLD:ACM8756.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-02,61,BOLD:ACM8756
27,OTU687,US,1.0000,BOLD:ACJ4436.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-02,59,BOLD:ACJ4436
28,OTU728,US,0.9925,BOLD:ABA8360.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,une-02,52,BOLD:ABA8360
29,OTU771_suspect_mock_chimera,GS,100.0,BOLD:AAV1814.3,Animalia,Arthropoda,Insecta,Diptera,Pediciidae,Ula,Ula sylvatica,une-02,28,BOLD:AAV1814
30,OTU825_suspect_mock_chimera,US,0.9925,BOLD:ABY0835.2,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,une-02,36,BOLD:ABY0835
31,OTU839_suspect_mock_chimera,GS,99.4,BOLD:AAD1986.5,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Xysticus,Xysticus ferox,une-02,43,BOLD:AAD1986
32,OTU982,US,1.0000,BOLD:ACB2292.3,Animalia,Arthropoda,Collembola,Entomobryomorpha,NA,NA,NA,une-02,30,BOLD:ACB2292
33,OTU1076_suspect_mock_variant,GS,99.4,BOLD:ABZ1938.2,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Agrotis,Agrotis venerabilis,une-02,64,BOLD:ABZ1938
34,OTU1077_suspect_mock_chimera,US,1.0000,BOLD:ACC8509.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-02,25,BOLD:ACC8509
35,OTU57_suspect_mock_chimera,GS,100.0,BOLD:ACL8128.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Eulasiona,Eulasiona comstocki,une-03,349,BOLD:ACL8128
36,OTU74_suspect_mock_chimera,GS,99.4,BOLD:AAF9872.1,Animalia,Arthropoda,Insecta,Diptera,Hybotidae,Syneches,NA,une-03,54,BOLD:AAF9872
37,OTU97_suspect_mock_chimera,GSL,100.0,BOLD:AAB1142.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Chrysops,NA,une-03,254,BOLD:AAB1142
38,OTU130_suspect_mock_chimera,GSL,100.0,BOLD:ABZ4650.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Hybomitra,Hybomitra hearlei,une-03,1580,BOLD:ABZ4650
39,OTU142_suspect_mock_chimera,GS,100.0,BOLD:AAH2334.3,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Neoitamus,Neoitamus flavofemoratus,une-03,747,BOLD:AAH2334
40,OTU156,US,0.9925,BOLD:ACU2986.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,702,BOLD:ACU2986
41,OTU161_suspect_mock_chimera,GS,100.0,BOLD:AAA2218.4,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Enallagma,Enallagma hageni,une-03,53,BOLD:AAA2218
42,OTU162_suspect_mock_chimera,GS,99.4,BOLD:ACE6456.1,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,Phobetron,Phobetron pithecium,une-03,398,BOLD:ACE6456
43,OTU175_suspect_mock_chimera,GS,100.0,BOLD:AAF9066.1,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,NA,NA,une-03,142,BOLD:AAF9066
44,OTU177_suspect_mock_chimera,GS,100.0,BOLD:AAG5457.8,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,une-03,36,BOLD:AAG5457
45,OTU179_suspect_mock_chimera,GS,100.0,BOLD:AAA4277.2,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,une-03,39,BOLD:AAA4277
46,OTU191_suspect_mock_chimera,GS,98.9,BOLD:ABV1485.1,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,NA,une-03,1225,BOLD:ABV1485
47,OTU197_suspect_mock_chimera,GS,100.0,BOLD:ABV1178.1,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Leptocera,Leptocera limosa,une-03,111,BOLD:ABV1178
48,OTU212_suspect_mock_chimera,GS,100.0,BOLD:AAA3181.1,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Stomoxys,Stomoxys calcitrans,une-03,41,BOLD:AAA3181
49,OTU214,US,1.0000,BOLD:AAC8496.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,450,BOLD:AAC8496
50,OTU217,US,1.0000,BOLD:ACY0966.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,39,BOLD:ACY0966
51,OTU222_suspect_mock_chimera,GS,100.0,BOLD:AAP9021.1,Animalia,Arthropoda,Insecta,Diptera,Cecidomyiidae,NA,NA,une-03,233,BOLD:AAP9021
52,OTU227,US,0.9881,BOLD:ACA9724.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,une-03,316,BOLD:ACA9724
53,OTU230_suspect_mock_chimera,GS,100.0,BOLD:AAC2498.4,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Helina,Helina evecta,une-03,125,BOLD:AAC2498
54,OTU244,US,1.0000,BOLD:ABY1821.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,56,BOLD:ABY1821
55,OTU245_suspect_mock_chimera,GS,99.4,BOLD:ACA9619.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Molophilus,NA,une-03,104,BOLD:ACA9619
56,OTU258_suspect_mock_chimera,SS,0.9300,BOLD:AAG6902.3,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,68,BOLD:AAG6902
57,OTU259_suspect_mock_chimera,US,0.9925,BOLD:ABY0835.2,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,310,BOLD:ABY0835
58,OTU261_suspect_mock_chimera,GS,99.4,BOLD:ACA0972.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,310,BOLD:ACA0972
59,OTU282,US,1.0000,BOLD:ACW4480.1,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,une-03,48,BOLD:ACW4480
60,OTU292_suspect_mock_chimera,GS,99.4,BOLD:AAC9062.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes ventrovittis,une-03,145,BOLD:AAC9062
61,OTU294_suspect_mock_chimera,US,0.9249,BOLD:AAP6566.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,63,BOLD:AAP6566
62,OTU298,US,0.9925,BOLD:ACA0599.1,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,NA,NA,une-03,215,BOLD:ACA0599
63,OTU312_suspect_mock_chimera,GS,99.4,BOLD:AAE5173.1,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,PschodididGC,NA,une-03,69,BOLD:AAE5173
64,OTU314,US,0.9916,BOLD:ACE7661.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,115,BOLD:ACE7661
65,OTU364_suspect_mock_chimera,US,0.9925,BOLD:ACE2869.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,228,BOLD:ACE2869
66,OTU394,US,1.0000,BOLD:ABX7722.4,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,une-03,161,BOLD:ABX7722
67,OTU424,US,1.0000,BOLD:AAT9848.2,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,85,BOLD:AAT9848
68,OTU472_suspect_mock_chimera,GS,97.8,BOLD:ACJ5583.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Hybomitra,Hybomitra polaris,une-03,118,BOLD:ACJ5583
69,OTU498_suspect_mock_chimera,GS,98.3,BOLD:AAF0738.2,Animalia,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Orthotrichia,Orthotrichia aegerfasciella,une-03,187,BOLD:AAF0738
70,OTU512,US,1.0000,None,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,NA,NA,une-03,107,None
71,OTU535_suspect_mock_chimera,SS,0.9700,BOLD:ABY5676.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,une-03,34,BOLD:ABY5676
72,OTU539,US,0.9936,BOLD:AAE7482.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,une-03,46,BOLD:AAE7482
73,OTU561_suspect_mock_chimera,GS,99.4,BOLD:ABA5299.1,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,Odontomyia,Odontomyia virgo,une-03,41,BOLD:ABA5299
74,OTU712_suspect_mock_chimera,SS,0.9800,BOLD:AAF9868.2,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,50,BOLD:AAF9868
75,OTU772,US,1.0000,BOLD:ACI0963.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-03,48,BOLD:ACI0963
76,OTU852,US,1.0000,BOLD:ACX2182.1,Animalia,Arthropoda,Insecta,Mecoptera,NA,NA,NA,une-03,40,BOLD:ACX2182
77,OTU853,US,1.0000,BOLD:AAN8897.1,Animalia,Arthropoda,Arachnida,Araneae,NA,NA,NA,une-03,29,BOLD:AAN8897
78,OTU947,US,1.0000,None,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,une-03,32,None
79,OTU995_suspect_mock_chimera,GS,97.8,BOLD:AAF9822.1,Animalia,Arthropoda,Insecta,Diptera,Hybotidae,Syneches,Syneches simplex,une-03,49,BOLD:AAF9822
80,OTU1078_suspect_mock_chimera,GS,100.0,BOLD:AAD9027.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Trichopoda,Trichopoda pennipes,une-03,25,BOLD:AAD9027
81,OTU120_suspect_mock_chimera,GS,100.0,BOLD:AAG0758.3,Animalia,Arthropoda,Insecta,Coleoptera,Pyrochroidae,Dendroides,Dendroides canadensis,une-04,47,BOLD:AAG0758
82,OTU140_suspect_mock_chimera,GS,100.0,BOLD:AAB6943.4,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex territans,une-04,69,BOLD:AAB6943
83,OTU535_suspect_mock_chimera,SS,0.9700,BOLD:ABY5676.1,Animalia,Arthropoda,Insecta,Hymenoptera,NA,NA,NA,une-04,61,BOLD:ABY5676
84,OTU587_suspect_mock_chimera,GS,100.0,BOLD:AAA8504.1,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Holcocera,Holcocera chalcofrontella,une-04,65,BOLD:AAA8504
85,OTU28_suspect_mock_chimera,GS,100.0,BOLD:ABW0392.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,Tabanus nigrovittatus,une-05,2014,BOLD:ABW0392
86,OTU45_suspect_mock_chimera,SS,1.0000,BOLD:ACW3762.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-05,475,BOLD:ACW3762
87,OTU63_suspect_mock_chimera,GS,100.0,BOLD:AAG6534.2,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Atrichopogon,NA,une-05,175,BOLD:AAG6534
88,OTU97_suspect_mock_chimera,GSL,100.0,BOLD:AAB1142.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Chrysops,NA,une-05,47,BOLD:AAB1142
89,OTU142_suspect_mock_chimera,GS,100.0,BOLD:AAH2334.3,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Neoitamus,Neoitamus flavofemoratus,une-05,36,BOLD:AAH2334
90,OTU164_suspect_mock_chimera,GS,100.0,BOLD:ACF5115.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Winthemia,Winthemia rufopicta,une-05,174,BOLD:ACF5115
91,OTU207_suspect_mock_chimera,GS,100.0,BOLD:AAV4056.1,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Notiphila,Notiphila olivacea,une-05,79,BOLD:AAV4056
92,OTU249_suspect_mock_chimera,GS,100.0,BOLD:AAB8796.3,Animalia,Arthropoda,Insecta,Lepidoptera,Saturniidae,Anisota,Anisota senatoria,une-05,315,BOLD:AAB8796
93,OTU256_suspect_mock_chimera,SS,0.9800,BOLD:ACK2920.1,Animalia,Arthropoda,Insecta,Diptera,Asilidae,NA,NA,une-05,46,BOLD:ACK2920
94,OTU294_suspect_mock_chimera,US,0.9249,BOLD:AAP6566.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-05,66,BOLD:AAP6566
95,OTU415_suspect_mock_chimera,GS,100.0,BOLD:AAC5775.1,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsyche,Hydropsyche hageni,une-05,46,BOLD:AAC5775
96,OTU729_suspect_mock_chimera,GS,100.0,BOLD:AAV3042.1,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Theridion,Theridion albidum,une-05,32,BOLD:AAV3042
97,OTU909_suspect_mock_chimera,GS,99.4,BOLD:AAB7622.4,Animalia,Arthropoda,Insecta,Lepidoptera,Depressariidae,Antaeotricha,Antaeotricha schlaegeri,une-05,34,BOLD:AAB7622
98,OTU960_suspect_mock_chimera,US,0.9859,BOLD:AAY6680.1,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,une-05,31,BOLD:AAY6680
99,OTU1031_suspect_mock_chimera,SS,0.9500,BOLD:AAG6832.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-05,27,BOLD:AAG6832
100,OTU499,US,0.9967,BOLD:AAW0513.1,Animalia,Arthropoda,Arachnida,Trombidiformes,NA,NA,NA,une-06,61,BOLD:AAW0513
101,OTU15_suspect_mock_chimera,GS,100.0,BOLD:AAC1238.4,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes hexodontus,une-07,2710,BOLD:AAC1238
102,OTU21_suspect_mock_chimera,GS,100.0,BOLD:ABY6840.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes nigromaculis,une-07,43710,BOLD:ABY6840
103,OTU28_suspect_mock_chimera,GS,100.0,BOLD:ABW0392.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Tabanus,Tabanus nigrovittatus,une-07,7525,BOLD:ABW0392
104,OTU31_suspect_mock_chimera,GS,100.0,BOLD:AAB5696.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes canadensis,une-07,2760,BOLD:AAB5696
105,OTU37_suspect_mock_chimera,GS,99.4,BOLD:ABY8099.1,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Atylotus,Atylotus sublunaticornis,une-07,46736,BOLD:ABY8099
106,OTU42_suspect_mock_chimera,GS,100.0,BOLD:ACI8633.1,Animalia,Arthropoda,Insecta,Diptera,Therevidae,NA,NA,une-07,10273,BOLD:ACI8633
107,OTU45_suspect_mock_chimera,SS,1.0000,BOLD:ACW3762.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,589,BOLD:ACW3762
108,OTU47_suspect_mock_chimera,GS,100.0,BOLD:AAG8493.1,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Scaptomyza,Scaptomyza pallida,une-07,184,BOLD:AAG8493
109,OTU53_suspect_mock_chimera,SS,0.9100,BOLD:ABW7796.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,4145,BOLD:ABW7796
110,OTU55_suspect_mock_chimera,GS,99.4,BOLD:ABW5810.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Euphylidorea,Euphylidorea luteola,une-07,4922,BOLD:ABW5810
111,OTU57_suspect_mock_chimera,GS,100.0,BOLD:ACL8128.1,Animalia,Arthropoda,Insecta,Diptera,Tachinidae,Eulasiona,Eulasiona comstocki,une-07,3202,BOLD:ACL8128
112,OTU61_suspect_mock_chimera,GS,100.0,BOLD:AAB1098.8,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes excrucians,une-07,1980,BOLD:AAB1098
113,OTU69_suspect_mock_chimera,GSL,100.0,BOLD:AAA7661.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,NA,NA,une-07,421,BOLD:AAA7661
114,OTU74_suspect_mock_chimera,GS,99.4,BOLD:AAF9872.1,Animalia,Arthropoda,Insecta,Diptera,Hybotidae,Syneches,NA,une-07,1034,BOLD:AAF9872
115,OTU83_suspect_mock_chimera,GS,99.4,BOLD:ACD1746.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,770,BOLD:ACD1746
116,OTU89_suspect_mock_chimera,GS,100.0,BOLD:AAD4355.1,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Aedes,Aedes provocans,une-07,572,BOLD:AAD4355
117,OTU95_suspect_mock_chimera,GS,100.0,BOLD:AAA3654.1,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambus,Crambus praefectellus,une-07,1612,BOLD:AAA3654
118,OTU111_suspect_mock_chimera,GS,99.4,BOLD:AAG7276.1,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,Leptocera,Leptocera erythrocera,une-07,203,BOLD:AAG7276
119,OTU124_suspect_mock_chimera,GS,100.0,BOLD:AAE8119.1,Animalia,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila hydei,une-07,1077,BOLD:AAE8119
120,OTU137_suspect_mock_chimera,GS,100.0,BOLD:AAG7259.1,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,Cyphon,Cyphon obscurus,une-07,151,BOLD:AAG7259
121,OTU140_suspect_mock_chimera,GS,100.0,BOLD:AAB6943.4,Animalia,Arthropoda,Insecta,Diptera,Culicidae,Culex,Culex territans,une-07,39,BOLD:AAB6943
122,OTU177_suspect_mock_chimera,GS,100.0,BOLD:AAG5457.8,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,une-07,309,BOLD:AAG5457
123,OTU179_suspect_mock_chimera,GS,100.0,BOLD:AAA4277.2,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Toxomerus,Toxomerus marginatus,une-07,216,BOLD:AAA4277
124,OTU181_suspect_mock_chimera,GS,100.0,BOLD:AAC0903.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus acidophilus,une-07,314,BOLD:AAC0903
125,OTU202_suspect_mock_chimera,SS,0.9900,BOLD:AAP6352.2,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,82,BOLD:AAP6352
126,OTU230_suspect_mock_chimera,GS,100.0,BOLD:AAC2498.4,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Helina,Helina evecta,une-07,170,BOLD:AAC2498
127,OTU258_suspect_mock_chimera,SS,0.9300,BOLD:AAG6902.3,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,240,BOLD:AAG6902
128,OTU325_suspect_mock_chimera,GS,100.0,BOLD:AAD0853.3,Animalia,Arthropoda,Insecta,Diptera,Scathophagidae,Scathophaga,Scathophaga suilla,une-07,207,BOLD:AAD0853
129,OTU335_suspect_mock_chimera,SS,0.9800,BOLD:AAG6832.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,54,BOLD:AAG6832
130,OTU361_suspect_mock_chimera,GS,100.0,BOLD:ACI2800.2,Animalia,Arthropoda,Insecta,Diptera,Empididae,NA,NA,une-07,30,BOLD:ACI2800
131,OTU441_suspect_mock_chimera,SS,1.0000,BOLD:ACX6117.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,36,BOLD:ACX6117
132,OTU482_suspect_mock_chimera,GS,98.9,BOLD:AAN5360.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,NA,NA,une-07,45,BOLD:AAN5360
133,OTU508_suspect_mock_chimera,GS,100.0,BOLD:AAP2522.5,Animalia,Arthropoda,Insecta,Diptera,Mycetophilidae,Trichonta,NA,une-07,62,BOLD:AAP2522
134,OTU542_suspect_mock_chimera,GS,98.3,BOLD:AAG6500.1,Animalia,Arthropoda,Insecta,Diptera,Ceratopogonidae,Atrichopogon,Atrichopogon fusculus,une-07,452,BOLD:AAG6500
135,OTU549_suspect_mock_chimera,GS,99.4,BOLD:AAG9713.1,Animalia,Arthropoda,Insecta,Diptera,Dolichopodidae,Sympycnus,Sympycnus lineatus,une-07,61,BOLD:AAG9713
136,OTU562_suspect_mock_chimera,GS,100.0,BOLD:AAD5369.1,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Sparganothis,Sparganothis boweri,une-07,86,BOLD:AAD5369
137,OTU602_suspect_mock_chimera,SS,0.9800,BOLD:ACR0542.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,28,BOLD:ACR0542
138,OTU627_suspect_mock_chimera,GS,99.4,BOLD:AAP5221.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,38,BOLD:AAP5221
139,OTU680_suspect_mock_chimera,GS,100.0,BOLD:AAG6910.1,Animalia,Arthropoda,Insecta,Diptera,Ephydridae,Brachydeutera,Brachydeutera argentata,une-07,31,BOLD:AAG6910
140,OTU693_suspect_mock_chimera,SS,0.9600,BOLD:ACN9284.3,Animalia,Arthropoda,Insecta,Hemiptera,NA,NA,NA,une-07,60,BOLD:ACN9284
141,OTU741_suspect_mock_chimera,GS,100.0,BOLD:ACL6355.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,NA,une-07,52,BOLD:ACL6355
142,OTU747_suspect_mock_chimera,GS,100.0,BOLD:AAD0642.1,Animalia,Arthropoda,Insecta,Diptera,Muscidae,Helina,Helina reversio,une-07,44,BOLD:AAD0642
143,OTU792_suspect_mock_chimera,GS,100.0,BOLD:ACM5318.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Polypedilum,NA,une-07,46,BOLD:ACM5318
144,OTU797_suspect_mock_chimera,SS,0.9800,BOLD:ACN2980.1,Animalia,Arthropoda,Insecta,Diptera,NA,NA,NA,une-07,28,BOLD:ACN2980
145,OTU807_suspect_mock_chimera,GS,100.0,BOLD:AAB2866.7,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Melanostoma,Melanostoma mellinum,une-07,47,BOLD:AAB2866
146,OTU861_suspect_mock_chimera,GS,99.4,BOLD:AAH3040.1,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Pollenia,Pollenia vagabunda,une-07,26,BOLD:AAH3040
147,OTU863_suspect_mock_chimera,GS,100.0,BOLD:ACE5422.3,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Neodactria,Neodactria luteolellus,une-07,39,BOLD:ACE5422
148,OTU955_suspect_mock_chimera,GS,99.4,BOLD:AAM6227.1,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,NA,une-07,108,BOLD:AAM6227
149,OTU204_suspect_mock_chimera,GS,100.0,BOLD:AAE2886.1,Animalia,Arthropoda,Insecta,Hymenoptera,Ichneumonidae,Therion,Therion circumflexum,une-09,76,BOLD:AAE2886
