species_name,counts
Cnephia ornithophilia,1
Coelopa frigida,3
Coenosia imperator,1
Coleophora deauratella,1
Coleophora lentella,1
Coleotechnites atrupictella,2
Coleotechnites quercivorella,1
Condylolomia participalis,1
Copromyza neglecta,1
Coquillettidia perturbans,1
Costaconvexa centrostrigaria,1
Crambus agitatellus,1
Crambus albellus,1
Crambus praefectellus,1
Cratyna perplexa,1
Cryptomeigenia muscoides,1
Culex territans,5
Culiseta melanura,1
Culiseta morsitans,5
Cyphon obscurus,2
Cypridopsis vidua,2
Dendroides canadensis,7
Dendroides concolor,2
Depressaria radiella,1
Dermestes lardarius,1
Diachorisia velatella,2
Dichomeris furia,1
Dicranomyia (Dicranomyia) longipennis,2
Dicranomyia frontalis,2
Digrammia pictipennata,1
Discobola annulata,1
Dolerosomus silaceus,1
Dolichopeza obscura,1
Donacaula pallulellus,1
Drosophila hydei,1
Dryocampa rubicunda,1
Dusona bicoloripes,1
Ectopria thoracica,1
Elephantomyia westwoodi,1
Emblyna sublata,1
Emmesa labiata,1
Enallagma civile,1
Enallagma hageni,5
Enallagma vesperum,1
Ennomos subsignaria,1
Eoparargyractis plevie,3
Epicallima argenticinctella,1
Epinotia criddleana,1
Epinotia demarniana,1
Epiphragma fasciapenne,1
Epiphragma solatrix,1
Eremocoris borealis,1
Eristalis dimidiata,1
Eristalis tenax,2
Euclea delphinii,1
Eucopina cocana,1
Eudioctria propinqua,2
Eufidonia convergaria,1
Eulasiona comstocki,7
Eulithis gracilineata,1
Euphylidorea luteola,2
Euphylidorea platyphallus,2
Eupithecia columbiata,3
Eupithecia miserulata,4
Eupsilia vinulenta,1
Eurylophella poconoensis,1
Eurylophella verisimilis,1
Euxoa bostoniensis,1
Euxoa messoria,3
Exechia frigida,2
Exechia nigroscutellata,1
Fabogethes nigrescens,1
Feltia subgothica,1
Feltia subterranea,1
Fucellia tergina,5
Fulgoraecia exigua,1
Geomyza tripunctata,2
Glauce pectenalaeella,2
Gluphisia avimacula,1
Gluphisia septentrionis,1
Glyphidocera septentrionella,2
Gnophomyia tristissima,1
Grammia ornata,1
Graphomya minuta,1
Gretchena concubitana,2
Gretchena delicatana,1
Gymnandrosoma punctidiscanum,1
Gyponana extenda,1
Halictus ligatus,1
Halocladius variabilis,1
Harpalus pensylvanicus,2
Harpalus rufipes,1
Harpalus somnulentus,2
Hebecnema nigra,1
Helina evecta,4
Helina exilis,1
Helina reversio,1
Helius flavipes,4
Hemicrepidius brevicollis,4
Hemicrepidius memnonius,4
Herpetogramma thestealis,1
Hexagenia limbata,1
Holcocera chalcofrontella,2
Horistonotus fidelis,1
Hybomitra hearlei,2
Hybomitra polaris,1
Hydatophylax argus,1
Hydrellia notata,1
Hydrochara obtusata,1
Hydrophilus ovatus,1
Hydrophorus chrysologus,2
Hydropsyche betteni,1
Hydropsyche bronta,1
Hydropsyche hageni,2
Hydropsyche morosa,2
Hydropsyche phalerata,1
Hydropsyche slossonae,2
Hydropsyche sparna,1
Hydropsyche ventura,1
Hydrotaea houghi,1
Hymenorus picipennis,1
Hypagyrtis piniata,1
Hypatopa simplicella,2
Idia concisa,2
Idia rotundalis,1
Ironoquia punctatissima,1
Isomira quadristriata,1
Isomira sericea,2
Julus scandinavius,1
Kleidocerys resedae,1
Larinioides sclopetarius,1
Lepidostoma togatum,1
Leptocera erythrocera,8
Leptocera limosa,2
Leptometopa latipes,1
Leptopeza flavipes,1
Leuconycta lepidula,1
Leucrocuta minerva,2
Limnephilus indivisus,2
Limnephilus submonilifer,2
Limnophila rufibasis,1
Limonia immatura,1
Lispe albitarsis,3
Litargus tetraspilotus,1
Lithophane innominata,1
Lobopterella dimidiatipes,1
Loscopia velata,1
Lucilia silvarum,1
Lygus lineolaris,1
Lymantria dispar,1
Macaria signaria,1
Maccaffertium mediopunctatum,2
Maccaffertium mexicanum,3
Maccaffertium modestum,1
Maccaffertium terminatum,2
Machimia tentoriferella,3
Macrosiphum valerianae,1
Malacosoma americanum,2
Malacosoma disstria,2
Megamelus inflatus,1
Melanolophia signataria,1
Melanostoma mellinum,1
Melanotus decumanus,2
Melanotus hyslopi,2
Melanotus similis,5
Metalimnobia novaeangliae,3
Metalimnobia triocellata,1
Metcalfa pruinosa,1
Metylophorus novaescotiae,3
Microtonus sericans,1
Monopis marginistrigella,1
Mycetophila perpallida,2
Mythimna unipuncta,3
Nacerdes melanura,1
Nectopsyche candida,1
Nemapogon acapnopennella,1
Neodactria luteolellus,1
Neogalea sunia,1
Neoitamus flavofemoratus,3
Neolygus omnivagus,3
Nephelodes minians,1
Nephrotoma alterna,2
Nephrotoma ferruginea,4
Neurobathra strigifinitella,1
Nicrophorus pustulatus,1
Nipponoserica peregrina,1
Noctua pronuba,1
Nola pustulata,1
Notiobia terminata,1
Notiphila olivacea,2
Ocypus nero,1
Odontomyia pubescens,1
Odontomyia virgo,2
Oedancala dorsalis,2
Olethreutes fasciatana,2
Oncopsis albicollis,1
Oncopsis prolixa,1
Operophtera brumata,1
Ophion nigrovarius,1
Ophiusa disjungens,1
Opogona omoscopa,1
Orthotrichia aegerfasciella,2
Packardia geminata,1
Palpita aenescentalis,1
Parydra aquila,1
Parydra quadritubeculata,1
Pediasia trisecta,3
Pelochrista agricolana,1
Pelochrista derelicta,2
Pelochrista dorsisignatana,1
Pelochrista similiana,1
Pentacricia aldrichii,1
Peridea ferruginea,1
Perilampus regalis,1
Phaonia apicata,2
Philodromus keyserlingi,1
Philodromus praelustris,1
Philodromus rufus,2
Philygria debilis,1
Phobetron pithecium,2
Phryganea cinerea,1
Phryganea sayi,1
Phtheochroa riscana,7
Phyllophaga tristis,1
Phylocentropus carolinus,1
Pirata piraticus,2
Pityohyphantes subarcticus,1
Plagiometriona clavata,2
Platycentropus radiatus,2
Platycheirus neoperpallidus,1
Platynota exasperatana,1
Platynus tenuicollis,1
Platypalpus holosericus,1
Pleuroprucha insulsaria,1
Polistes dominula,2
Pollenia labialis,1
Pollenia pediculata,2
Pollenia rudis,3
Pollenia vagabunda,2
Polydrusus formosus,1
Polypedilum convictum,1
Ponana rubida,1
Prionoxystus macmurtrei,2
Procecidochares atra,2
Procladius culiciformis,1
Procladius denticulatus,2
Proteoteras aesculana,1
Pseudolimnophila inornata,5
Pseudotelphusa quercinigracella,2
Pseudothyatira cymatophoroides,1
Psychoda phalaenoides,1
Psychomyia nomada,1
Ptilostomis ocellifera,1
Pycnopsyche nr lepida,1
Rachispoda atra,1
Rachispoda subpiligera,1
Rhagio mystaceus,2
Rheocricotopus robacki,1
Sarcophaga aldrichi,6
Sarcotachinella sinuata,1
Scaptomyza adusta,6
Scaptomyza pallida,10
Scatella crassicosta,2
Scatella stagnalis,3
Scathophaga suilla,1
Schrankia costaestrigalis,1
Sciara kitakamiensis,1
Scolopendra subspinipes,1
Semioscopis inornata,1
Semioscopis megamicrella,1
Sepsis punctum,3
Serica georgiana,1
Serratella serrata,1
Sialis concava,1
Simulium tuberosum complex,3
Simulium venustum sstr,1
Simulium verecundum complex,1
Sitona hispidulus,1
Sparganothis boweri,1
Spelobia clunipes,1
Spelobia luteilabris,1
Speranza pustularia,1
Sphinx kalmiae,1
Spilogona suspecta,1
Stenacron interpunctatum,6
Stenonema femoratum,2
Stomoxys calcitrans,2
Stratiomys normula,1
Strongygaster triangulifera,1
Swammerdamia caesiella,1
Symphora flavicollis,1
Symphoromyia fulvipes,2
Sympycnus lineatus,2
Synanthedon acerrubri,1
Syneches simplex,2
Tabanus catenatus,1
Tabanus marginalis,1
Tabanus nigrovittatus,6
Tachinomyia nigricans,1
Tanytarsus mendax,2
Theridion albidum,1
Therion circumflexum,3
Thylodrias contractus,1
Thymelicus lineola,1
Tipula abdominalis,2
Tipula bicolor,1
Tipula submaculata,2
Tipula trivittata,3
Toxomerus marginatus,7
Triaenodes injustus,1
Trichopoda pennipes,1
Ula sylvatica,1
Wamba crispulus,1
Winthemia rufopicta,3
Xenolechia ontariensis,1
Xyela pini,1
Xysticus auctificus,1
Xysticus ferox,3
Ypsolopha dentella,1
Zaprionus indianus,1
Zelus luridus,1
